GAME_ID,GAME_DT,PARK_ID
ATL201106200,20110620,ATL02
ATL201106210,20110621,ATL02
ATL201106220,20110622,ATL02
ATL201107010,20110701,ATL02
ATL201107020,20110702,ATL02
ATL201107030,20110703,ATL02
ATL201107040,20110704,ATL02
ATL201107050,20110705,ATL02
ATL201107060,20110706,ATL02
ATL201107070,20110707,ATL02
ATL201107150,20110715,ATL02
ATL201107160,20110716,ATL02
ATL201107170,20110717,ATL02
ATL201107250,20110725,ATL02
ATL201107260,20110726,ATL02
ATL201107270,20110727,ATL02
ATL201107280,20110728,ATL02
ATL201107290,20110729,ATL02
ATL201107300,20110730,ATL02
ATL201107310,20110731,ATL02
ATL201108120,20110812,ATL02
ATL201108130,20110813,ATL02
ATL201108140,20110814,ATL02
ATL201108150,20110815,ATL02
ATL201108160,20110816,ATL02
ATL201108170,20110817,ATL02
ATL201108180,20110818,ATL02
ATL201108190,20110819,ATL02
ATL201108200,20110820,ATL02
ATL201108210,20110821,ATL02
ATL201108300,20110830,ATL02
ATL201108310,20110831,ATL02
ATL201109010,20110901,ATL02
ATL201109020,20110902,ATL02
ATL201109030,20110903,ATL02
ATL201109040,20110904,ATL02
ATL201109120,20110912,ATL02
ATL201109130,20110913,ATL02
ATL201109140,20110914,ATL02
ATL201109160,20110916,ATL02
ATL201109170,20110917,ATL02
ATL201109180,20110918,ATL02
ATL201109260,20110926,ATL02
ATL201109270,20110927,ATL02
ATL201109280,20110928,ATL02
ATL201204130,120413,ATL02
ATL201204140,120414,ATL02
ATL201204150,120415,ATL02
ATL201204160,120416,ATL02
ATL201204170,120417,ATL02
ATL201204180,120418,ATL02
ATL201204270,120427,ATL02
ATL201204280,120428,ATL02
ATL201204290,120429,ATL02
ATL201204300,120430,ATL02
ATL201205010,120501,ATL02
ATL201205020,120502,ATL02
ATL201205030,120503,ATL02
ATL201205140,120514,ATL02
ATL201205150,120515,ATL02
ATL201205160,120516,ATL02
ATL201205170,120517,ATL02
ATL201205250,120525,ATL02
ATL201205260,120526,ATL02
ATL201205270,120527,ATL02
ATL201205280,120528,ATL02
ATL201205290,120529,ATL02
ATL201205300,120530,ATL02
ATL201206080,120608,ATL02
ATL201206090,120609,ATL02
ATL201206100,120610,ATL02
ATL201206110,120611,ATL02
ATL201206120,120612,ATL02
ATL201206130,120613,ATL02
ATL201206150,120615,ATL02
ATL201206160,120616,ATL02
ATL201206170,120617,ATL02
ATL201206260,120626,ATL02
ATL201206270,120627,ATL02
ATL201206280,120628,ATL02
ATL201206290,120629,ATL02
ATL201206300,120630,ATL02
ATL201207010,120701,ATL02
ATL201207020,120702,ATL02
ATL201207030,120703,ATL02
ATL201207040,120704,ATL02
ATL201207050,120705,ATL02
ATL201207130,120713,ATL02
ATL201207140,120714,ATL02
ATL201207150,120715,ATL02
ATL201207170,120717,ATL02
ATL201207180,120718,ATL02
ATL201207190,120719,ATL02
ATL201207270,120727,ATL02
ATL201207280,120728,ATL02
